,10日平均交易量,13周价格变化,26周价格变化,3个月平均交易量,52周最高价, 52周最高日期,52周最低价,52周最低日期,52周价格变化,5天价格变化,beta,市值,当月价格变化,13周同比ToS&P500价格,26周同比ToS&P500价格,52周同比ToS&P500价格,4周同比ToS&P500价格,年度同比ToS&P500价格,当年同比ToS&P500价格,交易所,股票代码
3724,0.77576,-22.5,-3.125,30.438540000000003,0.9,2020-01-23,0.42,2020-03-19,-11.42857,5.08475,0.85603,1258.521,6.89655,-11.14655,12.49498,8.32165,7.12208,23.52939,5.08475,HK,0085.HK
3725,0.84614,-14.32665,-15.056820000000002,17.617720000000002,3.81,2019-05-28,2.45,2020-03-19,-20.05348,-5.07937,0.75746,5959.710999999999,-6.26959,-1.77583,-1.36071,-2.8890599999999997,-3.30925,-5.26119,-19.40701,HK,0086.HK
3726,0.076,-18.035429999999998,-21.57165,1.8953400000000002,8.22,2019-05-29,4.88,2020-03-23,-37.926829999999995,-3.9622599999999997,0.62297,3143.235,-4.8598099999999995,-6.0279300000000005,-8.925980000000001,-5.36041,-24.92605,-6.06899,-20.09419,HK,0088.HK
3727,0.01488,-3.93013,-4.34783,0.3513,5.52,2019-07-23,4.16,2020-04-01,-18.66913,-3.93013,0.4115,1265.747,0.0,10.14374,11.07498,-0.91869,-1.63497,13.676820000000001,-3.2967,HK,0089.HK
3728,0.09224,7.93651,-6.84932,0.7118,0.88,2019-08-29,0.51,2020-03-24,-1.44928,9.67742,0.81314,311.848,11.47541,19.78331,6.85522,2.3169999999999997,19.886039999999998,20.32733,3.0303,HK,0090.HK
3729,3.4843300000000004,42.543859999999995,31.57895,53.73105,0.38,2020-04-09,0.09258999999999999,2019-06-21,26.820970000000003,6.55738,0.71512,238.8256,8.33333,63.425990000000006,52.794540000000005,-3.13742,53.382709999999996,49.82139,27.450979999999998,HK,0091.HK
3730,0.20337,-26.229509999999998,-40.0,6.50088,0.23,2019-05-24,0.078,2020-03-23,-57.14286,0.0,1.0582200000000002,61.54478,0.0,-15.42242,-30.32569,1.3331600000000001,-48.166740000000004,-35.48966,-45.12195,HK,0092.HK
3731,0.0234,-15.151520000000001,-12.5,0.44799999999999995,0.465,2019-12-09,0.245,2019-12-17,-26.315790000000003,-1.7543900000000001,0.00587,548.1401,-1.7543900000000001,-2.72154,1.60837,3.17558,-10.88316,9.71535,-6.66667,HK,0093.HK
3732,0.06701,-5.26316,-1.0,5.59086,0.47,2019-05-08,0.161,2020-04-21,-56.48352,6.45161,0.55598,367.2882,-0.50251,5.13488,13.5651,6.28605,-47.0626,-11.06123,-23.84615,HK,0094.HK
3733,5.32825,-12.5,-23.04965,109.26935,3.05,2019-10-29,2.0,2020-03-18,-7.26496,-2.6905799999999997,0.68462,10990.03,-3.9823,0.31840999999999997,-10.64229,0.40774,12.15773,-8.57054,-22.22222,HK,0095.HK
3734,0.0024,-20.0,-32.20339,0.5,1.9,2020-03-17,0.75,2020-03-31,-46.66665,-4.7619,0.48225,509.2397,0.0,-11.219430000000001,-22.229,-11.726510000000001,-35.120470000000005,-17.31803,-29.203540000000004,HK,0096.HK
